xx,yy
378.8834,161.4225
377.0967,155.3935
379.2695,149.9766
383.4267,142.2657
391.1295,136.7639
403.2124,128.733
415.7444,119.1305
427.8109,112.3148
441.1566,105.4407
453.837,97.4884
465.4539,92.20383000000001
481.9283,85.52617
496.7421,80.25636
515.5185,76.35748000000001
531.6323,71.62938
548.021,66.61258000000001
565.8437,63.349709999999995
580.4186,63.25615
595.1717,60.70491
608.4536,57.694669999999995
622.4637,56.09766
638.7769999999999,51.3599
656.5881,46.531890000000004
678.2486,44.140209999999996
699.2889,40.942440000000005
718.191,39.18367
734.1260000000001,40.31027
749.3207,41.93932
765.5933,41.14544
781.4827,40.3771
796.6904,39.62493
812.7368,39.36623
829.8549,40.158559999999994
848.3697,42.52967
862.553,45.44845
876.0112,47.13172
890.0312,49.007509999999996
902.175,52.220290000000006
911.9416,55.71171999999999
923.1654,57.86018000000001
935.5026,60.27007
947.5995,64.69705
961.2591,66.25636999999999
977.4939,69.61774
994.1871,74.10986
1013.135,78.45541
1028.65,82.02164
1040.635,83.60753000000001
1050.917,85.14118
1062.962,86.50915
1076.395,88.26101
1087.226,90.26132
1097.099,92.04008
1098.677,94.19688000000001
1098.593,96.2463
1098.108,98.52489
1098.302,100.2336
1100.869,100.6113
1104.175,100.4984
1106.3010000000002,100.0795
1107.85,99.05632
881.3041,2.535858
863.6653,2.483057
874.7486,2.314479
1115.714,94.24949000000001
1114.28,92.58308000000001
1119.734,85.45215999999999
1179.857,185.0114
1179.86,184.8867
1104.049,70.28146
1101.489,66.3858
1179.3010000000002,190.5649
1091.535,59.40231
158.1541,151.4261
1179.55,183.1643
1179.337,181.5696
1089.614,53.50594
1098.997,48.91537
1101.836,44.594359999999995
1103.8139999999999,39.66704
1105.975,35.12334
1106.205,33.32278
1106.9589999999998,32.373870000000004
1107.58,30.60517
1107.817,28.16698
1103.239,28.57803
158.143,148.2118
1179.261,176.8921
1096.724,15.57409
1091.854,16.07769
158.30200000000002,151.2321
1180.445,182.2214
1181.019,178.8198
1074.75,23.5714
1067.3339999999998,27.2119
1061.5439999999999,30.28272
1054.251,34.50354
1031.214,37.314040000000006
1015.6089999999999,37.7934
998.7015,36.45442
981.0681,35.07391
967.1072,35.91888
946.7667,38.31718
931.0287,43.26198
919.197,46.10208
907.4584,47.950070000000004
899.3942,49.690059999999995
1179.549,193.6179
884.6323,53.67851999999999
878.8231,55.19675
873.0125,56.313390000000005
865.8482,57.884930000000004
860.9282,59.28575
856.015,60.26055
852.5967,61.820519999999995
849.6273,63.939640000000004
847.8429,66.54681
845.9891,69.36823000000001
843.8784,72.3225
838.8817,74.21905
828.6563,73.19538
820.7838,73.62019000000001
809.5822,73.37715
799.0551,72.69688000000001
789.3324,73.80747
780.2713,75.57399000000001
772.1409,77.92979
764.7176,80.29641
757.0,83.6235
797.4119,3.017799
802.4553,3.6318379999999997
875.9178,2.6181959999999997
728.0035,85.65008
722.4372,83.50041999999999
716.2085,83.58429
709.6636,84.56808000000001
703.6862,84.81071
700.2151,84.70366999999999
698.1675,85.50419000000001
698.1466,85.49565
698.5879,86.32840999999999
697.7984,87.46589
699.6916,88.30901
702.23,88.66915
703.4245,88.18941
1178.84,179.1782
1179.236,182.8005
692.2427,81.38409
