xx,yy
616.774,301.236
611.513,301.983
608.1990000000001,303.93
606.669,305.67900000000003
611.616,306.251
612.654,307.81
611.864,309.58099999999996
610.49,311.178
609.967,313.5
609.318,316.496
608.386,318.45599999999996
606.788,320.461
606.082,322.253
605.7330000000001,323.684
605.6519999999999,325.341
605.7230000000001,326.88599999999997
605.284,328.624
605.314,329.59
605.076,330.233
605.231,330.34
604.851,330.733
604.56,331.06800000000004
604.741,330.774
604.793,330.86800000000005
604.405,331.07599999999996
604.212,331.32099999999997
603.8919999999999,331.44199999999995
603.346,331.82
603.933,331.74300000000005
603.915,332.014
604.488,331.945
604.621,332.23400000000004
604.604,332.624
604.7869999999999,332.474
608.748,331.691
606.721,333.159
604.451,334.783
605.2669999999999,335.626
606.903,336.39599999999996
605.606,338.041
607.576,338.926
608.889,340.458
610.762,342.13800000000003
612.187,343.72900000000004
614.145,345.115
614.442,346.586
616.5930000000001,347.426
617.576,348.401
618.009,349.56300000000005
618.684,350.79900000000004
622.259,351.384
624.798,352.009
625.3290000000001,353.168
626.798,354.244
626.995,355.486
630.1659999999999,355.653
631.649,356.55800000000005
634.192,357.01
636.976,357.296
639.922,357.30699999999996
641.7080000000001,357.909
644.882,357.87300000000005
647.099,357.74800000000005
649.188,357.57199999999995
652.651,357.30699999999996
659.966,355.44699999999995
665.133,355.0
670.373,354.212
673.841,353.79400000000004
676.763,353.361
679.924,352.634
682.2189999999999,352.278
684.5239999999999,351.99699999999996
686.9689999999999,351.36699999999996
689.551,350.67800000000005
691.7330000000001,350.406
693.31,350.094
696.2289999999999,349.288
697.8489999999999,348.48199999999997
699.927,347.57599999999996
700.959,346.99800000000005
701.943,346.264
703.275,345.529
704.268,344.99
705.717,343.793
705.618,342.858
706.846,341.75300000000004
707.556,340.778
708.3489999999999,339.705
709.0269999999999,339.223
710.018,338.564
709.8969999999999,337.68
709.942,337.043
708.696,336.605
707.7869999999999,335.61699999999996
707.2589999999999,334.926
707.615,334.39300000000003
707.2289999999999,333.847
707.0,333.048
706.6410000000001,332.36699999999996
706.8739999999999,331.483
705.534,330.494
705.557,329.589
705.467,328.79699999999997
704.7869999999999,328.259
703.471,327.41200000000003
701.488,326.237
700.7760000000001,325.491
700.677,324.54400000000004
699.449,323.769
681.6419999999999,314.803
681.893,314.392
680.927,313.837
680.1160000000001,313.128
679.8739999999999,312.74
679.3589999999999,311.966
678.71,311.17
677.62,310.88
677.706,310.70599999999996
676.725,310.22
677.3589999999999,310.002
676.1410000000001,309.512
675.4760000000001,308.563
675.918,308.343
675.0369999999999,308.145
675.967,307.914
675.72,307.825
675.206,307.58099999999996
675.569,307.42900000000003
675.597,307.395
675.248,306.98900000000003
674.3589999999999,306.8
674.9939999999999,306.693
674.067,306.195
673.9580000000001,306.03
674.176,305.885
674.1060000000001,305.772
673.63,305.692
672.675,305.467
672.6310000000001,305.45599999999996
672.33,305.225
672.0060000000001,304.997
671.9810000000001,304.812
671.895,304.568
670.8860000000001,304.483
671.956,304.123
671.345,303.623
670.172,303.442
670.893,303.376
669.824,303.154
670.19,302.861
671.23,302.626
669.816,302.388
670.67,301.89099999999996
669.857,301.548
668.82,300.853
668.7260000000001,300.536
669.283,300.384
669.5210000000001,300.274
669.064,300.311
668.9630000000001,300.249
668.5239999999999,300.08799999999997
666.508,299.635
666.175,299.555
666.515,299.502
666.305,299.551
666.076,299.565
666.559,299.482
667.328,299.57099999999997
666.38,299.625
666.7460000000001,299.496
660.3430000000001,298.35200000000003
660.179,298.238
660.685,298.052
659.836,298.03700000000003
662.836,298.1
659.362,297.535
656.758,297.30400000000003
657.1469999999999,297.23900000000003
656.1310000000001,297.249
654.717,294.35900000000004
654.46,294.248
652.706,294.018
652.214,293.907
652.211,293.904
652.212,293.905
654.811,294.066
654.409,294.108
656.2280000000001,294.445
654.1569999999999,293.827
653.185,293.659
653.0,293.58
653.582,294.017
652.886,293.779
651.555,293.557
652.981,293.747
651.304,293.232
651.4119999999999,292.948
650.1709999999999,292.796
649.278,292.70599999999996
650.5169999999999,292.656
650.3969999999999,292.56
650.481,292.546
651.413,292.709
651.9580000000001,292.49
651.504,292.3
650.999,292.004
650.664,291.803
650.696,291.759
650.558,291.658
650.2959999999999,291.492
650.258,291.45799999999997
650.812,291.527
651.512,291.907
648.273,291.702
652.784,292.374
651.354,292.002
648.757,291.55
648.896,291.51099999999997
647.976,291.668
648.536,291.70799999999997
649.774,292.407
649.825,292.44599999999997
650.029,292.721
649.674,292.884
649.337,292.83299999999997
649.04,292.783
645.547,292.638
644.675,292.752
645.154,292.795
646.879,293.402
646.911,293.921
646.379,293.875
644.562,293.798
644.469,293.796
643.005,294.135
645.283,294.561
643.382,294.19
643.078,294.151
640.072,294.097
638.857,294.374
640.928,295.572
641.74,295.596
641.049,295.70599999999996
640.008,295.63
638.566,295.656
637.585,295.73
637.028,296.11
636.891,296.346
637.346,296.684
637.316,297.04400000000004
637.14,297.286
636.5269999999999,297.343
635.988,297.52299999999997
635.018,297.798
634.57,298.047
633.992,298.555
635.064,298.608
634.695,299.04
634.323,299.528
633.773,299.668
633.0419999999999,299.749
631.885,299.904
631.288,299.816
630.765,300.07099999999997
630.924,300.10200000000003
630.104,300.362
629.1519999999999,300.693
628.453,300.58099999999996
626.956,300.675
626.013,300.73400000000004
625.298,300.796
624.7909999999999,300.88
624.202,301.018
623.689,300.972
622.688,300.996
621.4780000000001,301.027
620.151,301.168
618.632,301.336
617.825,301.441
617.783,301.52299999999997
617.495,301.522
616.993,301.841
616.0790000000001,302.006
615.113,301.97900000000004
613.877,301.76099999999997
612.566,301.785
611.72,301.914
610.613,302.077
610.427,302.02099999999996
609.577,301.988
608.606,301.796
607.5980000000001,301.66
606.375,301.41700000000003
604.781,301.112
602.935,300.994
601.924,300.812
601.018,300.58
600.286,300.47
599.444,300.39
598.196,300.378
596.872,300.315
595.465,300.09
593.341,299.80400000000003
593.386,299.846
594.504,300.214
593.367,300.35400000000004
592.381,300.311
591.66,300.17900000000003
589.432,300.16200000000003
591.507,300.801
592.0219999999999,301.065
589.967,300.882
588.452,300.757
586.4630000000001,300.88
585.259,300.874
584.031,300.988
583.065,301.018
581.936,301.178
580.919,301.265
579.391,301.077
579.395,301.188
578.124,301.08
576.995,301.02099999999996
576.5409999999999,301.147
575.3290000000001,301.025
574.158,300.961
574.044,301.171
573.6990000000001,301.07099999999997
572.561,301.041
572.839,301.171
571.72,301.17
571.802,301.335
571.3,301.381
570.317,301.278
569.16,301.24
568.226,301.0
566.96,300.819
563.263,300.16700000000003
562.72,300.093
566.553,300.944
