xx_mm,yy_mm
83.42529479768787,56.63308823529412
83.60397687861271,56.539205882352945
83.67963005780348,56.45170588235295
83.61507514450868,56.36647058823529
83.34668208092486,56.32055882352942
83.30561849710983,56.338676470588226
83.39643930635837,56.516352941176464
83.62117919075145,57.14614705882354
83.74603468208092,57.94661764705882
83.80393063583814,58.801647058823534
84.00110982658958,59.28258823529412
83.6463352601156,59.468088235294125
83.61230057803468,59.765588235294125
83.744,59.99494117647058
83.84795375722544,60.35276470588235
83.85664739884393,60.75444117647059
83.89604624277457,61.09723529411764
83.87163005780346,61.17979411764706
83.92564161849712,61.155088235294116
83.87273988439306,61.04782352941176
83.87181502890172,61.1495294117647
83.85387283236993,61.161676470588226
83.80263583815031,61.16867647058824
84.01220809248555,61.297970588235295
83.86219653179191,61.283764705882355
83.61026589595376,61.27100000000001
83.62173410404624,61.324323529411764
83.75639306358383,61.36035294117647
83.71662427745666,61.38711764705882
83.7532485549133,61.42047058823529
83.537387283237,61.366117647058836
83.72106358381502,61.4134705882353
83.66723699421964,61.46061764705881
83.63727167630057,61.46844117647058
83.92027745664741,61.544
83.93285549132946,61.5895
83.75953757225433,61.579
83.79098265895954,61.61832352941176
84.1577803468208,61.69470588235294
84.09507514450867,61.64920588235295
84.29077456647397,61.698
84.21271676300579,61.696147058823534
84.10839306358383,61.69779411764706
84.36254335260115,61.84932352941176
84.75856647398844,61.91129411764706
84.9735028901734,61.97923529411766
85.05969942196533,62.02144117647059
85.14404624277458,62.035235294117655
85.54265895953756,62.12088235294118
85.68323699421966,62.13838235294117
85.96550289017341,62.230823529411765
86.03949132947977,62.28373529411764
85.4703352601156,62.13529411764706
85.39616184971098,62.132823529411766
85.5783583815029,62.167411764705875
85.7459421965318,62.21352941176471
85.7518612716763,62.21744117647059
85.62478612716764,62.199735294117644
85.15403468208093,62.042235294117646
84.98238150289016,61.97573529411765
86.13660115606937,62.306176470588234
86.46973410404624,62.73626470588235
86.78603468208092,62.81470588235294
86.9656416184971,62.886970588235286
87.01095953757226,62.958000000000006
86.9841387283237,62.953676470588235
87.16633526011562,62.97611764705883
87.11583815028904,63.00391176470589
87.00411560693641,62.958000000000006
87.072,62.965823529411765
86.8496647398844,62.93350000000001
86.69040462427745,62.89685294117647
86.71630057803469,62.89705882352941
86.95435838150287,62.957588235294125
86.9993063583815,63.00638235294118
87.08531791907515,63.03870588235294
87.19278612716762,63.07535294117647
87.38441618497109,63.147
87.19297109826587,63.12641176470589
87.21128323699422,63.23758823529411
87.12157225433526,63.22523529411764
87.04813872832372,63.21720588235295
86.26053179190751,62.9919705882353
87.08957225433527,63.25673529411765
87.0363005780347,63.232647058823524
86.86205780346822,63.23552941176471
86.97119075144509,63.28885294117648
86.92679768786128,63.30779411764706
86.92217341040461,63.308205882352944
86.80934104046243,63.36729411764706
86.03209248554913,63.24170588235295
86.79306358381503,63.48011764705882
87.06904046242775,63.59047058823529
86.67708670520233,63.51964705882353
86.66265895953757,63.53570588235295
86.53724855491329,63.51861764705883
86.04060115606936,63.40950000000001
86.37243930635837,63.55670588235294
86.66450867052022,63.68867647058824
85.99195375722545,63.52808823529411
85.75038150289018,63.533235294117645
85.75278612716764,63.595617647058816
85.75315606936415,63.59788235294117
86.78973410404623,63.92008823529411
86.94344508670521,64.03229411764706
86.62806936416185,64.03208823529411
86.58256647398844,64.07697058823528
86.67431213872833,64.14079411764706
86.71426589595377,64.16097058823529
86.55241618497111,64.16179411764705
86.41220809248554,64.17908823529413
86.46769942196532,64.23364705882354
86.60938728323698,64.3310294117647
86.50635838150289,64.38908823529412
86.5122774566474,64.41729411764706
86.64490173410405,64.5305294117647
86.73128323699422,64.64541176470588
86.69576878612716,64.66270588235292
86.51634682080926,64.64088235294118
86.70409248554914,64.71705882352941
86.68115606936416,64.76358823529411
86.28494797687861,64.72570588235294
86.55759537572256,64.83214705882354
86.70464739884392,64.89020588235293
86.59643930635838,64.92808823529411
86.57498265895954,64.98408823529412
86.38890173410405,64.98408823529412
86.52115606936417,64.97770588235294
86.67912138728325,64.96597058823531
86.61512138728324,64.92788235294118
86.64601156069365,64.94373529411764
86.47824277456648,64.89205882352941
86.54002312138728,64.8955588235294
86.76568786127169,64.96638235294118
86.89276300578035,65.01394117647058
86.74330635838149,65.01435294117647
86.94899421965319,65.09423529411765
86.78307514450867,65.06808823529413
86.87944508670519,65.1290294117647
87.0346358381503,65.18420588235294
86.91181502890174,65.17226470588236
86.90867052023121,65.16361764705883
86.89220809248555,65.17185294117648
86.89350289017342,65.15517647058824
87.06497109826589,65.17267647058823
87.36998843930635,65.27232352941178
87.26547976878612,65.22538235294118
87.11953757225433,65.14694117647059
87.36203468208093,65.2035588235294
87.57660115606937,65.26408823529412
87.61304046242775,65.26573529411765
87.56106358381501,65.23938235294118
87.82094797687861,65.26861764705883
87.81058959537573,65.2379411764706
87.75657803468208,65.23629411764706
87.75139884393064,65.24247058823529
87.85331791907514,65.25852941176471
87.86682080924854,65.26717647058824
87.94117919075144,65.30608823529411
87.796161849711,65.27129411764706
87.74584971098267,65.27335294117648
87.93322543352602,65.37155882352941
87.75195375722544,65.32461764705882
87.32873988439306,65.25214705882354
87.28582658959539,65.24720588235294
87.91898265895954,65.39358823529412
88.0123930635838,65.42385294117646
87.92453179190751,65.415
87.64541040462427,65.38782352941176
87.54756069364161,65.38967647058824
87.56235838150289,65.38947058823528
87.77248554913294,65.46420588235294
87.74880924855492,65.47038235294117
87.49872832369944,65.42055882352942
87.63190751445087,65.422
87.59676300578035,65.37629411764706
87.80596531791906,65.41623529411766
87.97576878612718,65.44052941176471
88.01424277456648,65.44876470588235
88.04069364161852,65.44711764705882
88.08453179190751,65.45947058823529
88.12430057803466,65.46523529411765
88.09840462427745,65.4395
88.03884393063584,65.43579411764705
87.81928323699422,65.38391176470589
87.9539421965318,65.42035294117646
88.08693641618498,65.45864705882353
87.93137572254335,65.42467647058824
88.0033294797688,65.44691176470589
88.14390751445087,65.48623529411763
87.93304046242774,65.45329411764706
87.94117919075144,65.47491176470588
87.9604161849711,65.48726470588235
87.85757225433527,65.45905882352942
87.97095953757226,65.50229411764705
88.01535260115607,65.569
87.80134104046243,65.54635294117647
87.94765317919075,65.59123529411765
87.99389595375723,65.632
87.97410404624279,65.66041176470588
87.80726011560694,65.63035294117647
87.85239306358382,65.67132352941177
88.04328323699423,65.709
88.07417341040463,65.72567647058824
87.91750289017341,65.72958823529412
87.93156069364163,65.76067647058824
87.88735260115607,65.76129411764707
87.81188439306358,65.76582352941176
87.77729479768786,65.76582352941176
87.77470520231213,65.79423529411766
87.82446242774567,65.779
87.79764161849712,65.77138235294117
87.75602312138727,65.76479411764707
87.82057803468207,65.744
87.87273988439306,65.7219705882353
87.93082080924856,65.70344117647058
87.9191676300578,65.67852941176471
87.79782658959537,65.64641176470589
87.88254335260115,65.65485294117646
87.93174566473988,65.65814705882353
87.95135260115607,65.65814705882353
87.86238150289016,65.66679411764706
87.71329479768787,65.63591176470588
87.78136416184972,65.65176470588234
87.90825433526011,65.68738235294117
87.71828901734104,65.65361764705882
87.66779190751446,65.64805882352941
87.63079768786127,65.6400294117647
87.53072832369942,65.62314705882352
87.6002774566474,65.65958823529412
87.7998612716763,65.7139411764706
87.66557225433525,65.7125
87.74363005780347,65.75202941176471
87.71218497109828,65.77858823529411
87.71440462427745,65.79814705882353
87.72772254335261,65.80288235294118
87.71791907514451,65.82882352941176
87.7027514450867,65.83314705882351
87.75361849710983,65.863
87.80504046242774,65.9000588235294
87.75990751445087,65.8924411764706
87.62876300578036,65.88461764705882
87.52665895953757,65.88358823529411
87.50020809248554,65.91323529411764
87.67278612716763,65.95708823529412
87.66020809248555,65.95482352941177
87.76582658959538,65.96264705882352
87.65687861271675,65.97561764705883
87.62080924855492,65.98817647058823
87.65928323699421,65.9929117647059
87.5320231213873,65.95605882352942
87.50057803468208,65.96305882352941
87.61988439306359,65.99208823529412
87.5455260115607,65.99641176470588
87.4994682080925,65.99888235294118
87.66298265895955,66.08144117647059
87.4994682080925,66.05652941176471
87.59602312138728,66.07464705882353
87.5640231213873,66.09544117647059
87.44767630057804,66.09008823529412
87.48578034682082,66.11026470588236
87.52887861271678,66.1115
87.4006936416185,66.13455882352942
87.36092485549132,66.14917647058824
87.43398843930635,66.16976470588234
87.3698034682081,66.19755882352942
87.2895260115607,66.1955
87.43306358381504,66.22576470588236
87.59121387283238,66.28588235294117
87.46450867052023,66.23688235294117
87.36702890173412,66.24038235294118
87.44360693641619,66.23852941176472
87.40550289017341,66.22473529411765
87.47320231213872,66.24141176470589
87.44249710982659,66.22185294117646
87.31542196531794,66.20332352941176
87.44083236994219,66.2325588235294
87.49650867052024,66.2375
87.40901734104047,66.23894117647059
87.42806936416184,66.25870588235294
87.45858959537573,66.27661764705883
87.45507514450867,66.28588235294117
87.5368323699422,66.29205882352942
87.52684393063582,66.29082352941177
87.4402774566474,66.28361764705882
86.99431213872833,66.18376470588235
87.31690173410404,66.24141176470589
87.38608092485548,66.2595294117647
87.41086705202312,66.25973529411765
87.42732947976879,66.28629411764706
87.41863583815028,66.30585294117648
87.3176416184971,66.30626470588236
87.25660115606935,66.32952941176471
87.3296647398844,66.34105882352941
87.27306358381503,66.33941176470589
87.36277456647399,66.37379411764707
87.3268901734104,66.39067647058823
87.24402312138729,66.395
87.27176878612717,66.39994117647059
87.35870520231214,66.40797058823529
87.21165317919078,66.42238235294118
87.04073988439308,66.38820588235293
87.2401387283237,66.46685294117647
87.17280924855493,66.46561764705882
87.3285549132948,66.5185294117647
87.28323699421965,66.51688235294117
87.16966473988438,66.5024705882353
87.12268208092485,66.50082352941178
87.18631213872833,66.50638235294119
87.21442774566475,66.51811764705882
87.22071676300578,66.49855882352941
87.35870520231214,66.50782352941177
87.33373410404626,66.50535294117647
87.09771098265895,66.41826470588235
87.35149132947979,66.45264705882353
87.2595606936416,66.41661764705883
87.14857803468209,66.38223529411765
87.4798612716763,66.41970588235294
87.7423352601156,66.39602941176472
87.85220809248554,66.3995294117647
87.68536416184972,66.23070588235295
87.82779190751447,66.07547058823529
88.17072832369941,65.98323529411765
88.33738728323699,65.87905882352942
89.06820809248555,65.84467647058824
89.49771098265894,65.71579411764705
90.12994219653179,65.6200588235294
90.74737572254335,65.52267647058824
90.89923699421966,65.34335294117648
91.17761849710982,65.23382352941177
91.278612716763,65.08414705882353
91.3518612716763,64.89576470588234
91.56420809248556,64.81773529411764
91.74862427745664,64.68514705882353
91.96097109826589,64.55194117647059
92.4898034682081,64.45291176470589
92.81664739884394,64.41914705882353
92.95408092485549,64.33947058823529
93.0293641618497,64.27955882352941
93.38173410404626,64.23776470588236
93.74668208092486,64.20914705882353
93.85618497109827,64.13173529411765
93.7008092485549,63.95158823529412
93.91186127167632,63.89641176470589
93.96087861271677,63.82888235294118
94.0202543352601,63.809323529411756
94.27070520231214,63.80335294117647
94.49803468208093,63.725941176470585
94.85835838150288,63.72655882352941
94.85040462427745,63.494323529411766
95.31616184971098,63.48876470588235
95.67593063583816,63.412176470588236
96.22011560693643,63.44717647058824
96.22215028901735,63.31726470588235
96.00018497109826,63.16038235294117
96.2624739884393,63.14658823529412
96.45169942196532,63.05991176470588
96.6085549132948,62.92238235294118
96.78039306358383,62.77867647058824
97.02751445086705,62.71135294117647
97.21969942196533,62.577323529411764
97.26908670520231,62.46861764705883
97.59870520231215,62.4270294117647
97.5831676300578,62.258411764705876
97.73317919075144,62.106058823529416
98.048,62.0515
98.46917919075146,62.02123529411764
98.80989595375722,62.019176470588235
98.9417803468208,61.934764705882344
98.97507514450868,61.75894117647058
99.06682080924855,61.575705882352935
99.23773410404624,61.446
99.45119075144508,61.2909705882353
99.50409248554912,61.11741176470588
99.69960693641619,61.032999999999994
99.59620809248555,60.7449705882353
